start_timestamp,parse_time,routing_time,service_time
33.627703,5.01,12.321,314.766
38.742859,4.997,12.16,255.73
43.856103,5.035,12.306,244.059
48.969900,5.139,12.52,270.53
54.083359,4.964,12.483,276.777
59.196882,5.059,12.577,243.14
04.310063,4.944,12.075,301.134
09.424164,5.012,14.726,275.043
14.538027,4.993,12.274,233.179
19.652126,4.985,12.658,258.247
24.766041,4.97,12.668,237.159
29.880035,4.971,12.222,239.596
34.993867,5.089,12.598,306.251
40.107625,4.935,12.472,255.765
45.220824,5.047,12.571,234.976
50.333993,5.127,12.625,239.569
55.447940,4.98,12.31,286.097
00.561466,5.142,12.595,250.747
05.675356,5.016,12.159,243.416
10.788825,5.027,11.993,263.543
15.902904,4.955,12.057,288.475
21.016719,5.049,11.968,237.59
26.130909,4.979,12.655,292.313
31.244207,4.963,12.094,285.758
36.358145,4.97,12.172,296.657
41.471942,4.953,12.244,1494.064
46.585915,5.006,12.702,87.989
51.699868,4.919,12.239,41.256
56.813813,5.024,12.229,27.5
01.928041,4.956,12.162,40.894
07.041402,5.031,12.731,47.881
12.155246,5.072,12.486,28.245
17.267873,4.949,11.518,25.938
22.381773,5.083,12.431,58.089
27.495628,4.946,12.263,112.433
32.609213,5.122,12.192,96.333
37.723409,5.217,12.613,107.102
42.836540,4.945,12.081,36.717
47.949965,4.975,12.127,54.54
53.063479,4.965,12.022,98.009
58.177300,5.041,12.187,64.252
03.291405,5.006,12.352,56.315
08.405213,5.055,12.232,110.239
13.518773,4.937,12.464,68.656
18.632369,4.96,12.167,28.262
23.746595,5.27,12.318,31.216
28.860423,5.017,12.559,92.795
33.974478,4.975,12.527,85.79
39.088107,5.007,12.435,95.523
44.201888,4.973,12.216,37.953
